127.0.0.1 - - [30/Jul/2017:18:49:05 -0300] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:15 -0300] "GET /ClientTCP/index.jsp HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/style-responsive.css HTTP/1.1" 200 8257
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/bootstrap.min.css HTTP/1.1" 200 105939
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/jquery-migrate-1.0.0.min.js HTTP/1.1" 200 6911
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/style.css HTTP/1.1" 200 64775
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/bootstrap-responsive.min.css HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/jquery-ui-1.10.0.custom.min.js HTTP/1.1" 200 227259
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/jquery.ui.touch-punch.js HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/modernizr.js HTTP/1.1" 200 5541
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/bootstrap.min.js HTTP/1.1" 200 28538
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/jquery.cookie.js HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/fullcalendar.min.js HTTP/1.1" 200 49962
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/excanvas.js HTTP/1.1" 200 41784
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/jquery.flot.js HTTP/1.1" 200 107204
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/jquery.flot.stack.js HTTP/1.1" 200 6968
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/js/jquery.dataTables.min.js HTTP/1.1" 200 70742
